x=504, y=333..358
y=102, x=587..593
x=597, y=1255..1269
y=1452, x=546..567
x=564, y=1285..1295
x=541, y=1391..1402
x=440, y=149..151
y=1339, x=483..490
x=487, y=1125..1137
x=461, y=58..80
x=435, y=620..633
x=422, y=1060..1081
x=536, y=1545..1555
y=1156, x=537..550
x=480, y=1400..1427
y=1473, x=434..455
y=725, x=507..521
x=469, y=326..337
y=863, x=437..444
x=434, y=989..1005
x=467, y=180..189
x=435, y=427..433
y=1112, x=421..446
y=123, x=485..505
x=506, y=381..387
x=474, y=73..77
y=245, x=592..594
x=455, y=836..848
y=1405, x=532..550
x=453, y=261..265
x=562, y=1741..1743
x=507, y=950..959
x=435, y=724..728
y=80, x=461..482
x=520, y=1291..1316
x=486, y=348..360
y=939, x=524..546
x=456, y=534..546
x=572, y=1501..1514
x=528, y=1300..1311
x=462, y=1320..1323
x=546, y=1270..1276
x=564, y=1097..1107
x=493, y=115..118
x=581, y=24..37
x=506, y=1087..1098
x=457, y=474..486
x=496, y=1204..1213
x=495, y=1148..1159
y=654, x=433..451
x=489, y=1166..1178
x=476, y=222..224
y=1137, x=431..457
x=471, y=696..703
x=523, y=1566..1578
x=586, y=1139..1166
x=555, y=998..1008
x=536, y=884..895
x=436, y=301..314
x=583, y=566..585
x=430, y=943..954
y=1469, x=533..551
x=546, y=956..958
y=37, x=581..596
y=1314, x=553..557
x=483, y=1078..1100
x=591, y=764..778
x=549, y=598..626
y=1107, x=533..552
x=455, y=449..471
x=495, y=514..527
y=1168, x=504..508
y=13, x=468..486
x=594, y=235..245
x=460, y=496..507
x=544, y=1479..1491
x=480, y=1295..1301
y=1134, x=563..583
x=561, y=1564..1570
x=443, y=1156..1174
x=493, y=1643..1654
y=703, x=471..474
y=560, x=484..494
x=502, y=479..506
x=439, y=1126..1131
x=464, y=941..951
y=38, x=420..442
y=587, x=467..475
x=589, y=602..628
y=1213, x=478..485
x=562, y=365..385
y=1678, x=522..524
x=507, y=922..927
x=513, y=54..57
y=29, x=558..568
y=433, x=415..435
x=446, y=1456..1466
x=555, y=956..958
x=492, y=692..695
x=432, y=370..374
y=1156, x=487..489
x=432, y=194..214
x=478, y=179..189
y=465, x=466..481
x=470, y=124..126
y=750, x=422..428
x=505, y=49..60
x=519, y=1481..1486
y=401, x=451..469
x=470, y=216..227
x=510, y=54..57
x=478, y=1295..1301
x=449, y=682..693
x=478, y=1203..1213
y=1723, x=535..557
x=522, y=1675..1678
y=506, x=484..502
x=535, y=111..124
y=614, x=447..464
x=543, y=984..993
x=499, y=614..633
y=239, x=493..507
y=1684, x=511..532
x=421, y=1666..1677
y=1458, x=578..583
y=769, x=457..462
x=551, y=1585..1596
y=793, x=499..503
x=508, y=1067..1076
y=1032, x=564..568
y=667, x=434..436
x=567, y=525..534
x=559, y=935..940
x=492, y=432..446
x=525, y=116..121
x=588, y=765..778
x=545, y=525..531
y=1128, x=481..484
x=493, y=170..193
x=442, y=640..650
x=580, y=472..489
x=453, y=450..471
x=553, y=1266..1279
y=1363, x=572..584
x=526, y=1160..1165
y=1570, x=551..561
x=451, y=696..703
x=455, y=1448..1473
x=533, y=575..602
x=550, y=1138..1156
y=1740, x=482..485
x=571, y=632..645
x=542, y=968..978
x=579, y=1713..1739
y=1628, x=434..441
x=508, y=68..80
y=265, x=442..453
x=507, y=1599..1613
y=1076, x=508..528
x=417, y=1032..1039
x=537, y=1334..1336
x=573, y=916..918
x=558, y=1626..1636
x=514, y=1155..1168
x=597, y=649..658
x=494, y=1399..1427
x=476, y=1172..1174
x=482, y=59..80
y=991, x=493..511
y=1584, x=461..466
y=650, x=442..445
x=422, y=356..365
y=1505, x=475..494
x=518, y=687..707
x=596, y=840..851
y=89, x=541..546
y=1491, x=544..559
y=1610, x=421..426
x=577, y=884..889
y=315, x=492..512
y=1058, x=506..516
x=450, y=1265..1279
y=1362, x=543..569
x=550, y=387..395
y=1107, x=558..564
x=526, y=1086..1098
x=582, y=1180..1203
x=485, y=1189..1200
y=674, x=590..595
x=463, y=196..219
x=496, y=686..707
x=502, y=979..988
y=100, x=498..521
x=571, y=916..918
x=481, y=1035..1063
x=466, y=455..465
x=528, y=96..101
y=60, x=505..519
y=1698, x=570..589
x=540, y=507..534
x=474, y=433..446
x=472, y=1021..1030
y=1165, x=523..526
x=489, y=325..337
x=565, y=493..498
x=495, y=1132..1134
x=474, y=762..776
x=541, y=83..89
x=572, y=314..322
y=1571, x=514..520
y=740, x=544..557
x=486, y=10..13
y=672, x=451..478
x=457, y=1122..1137
y=486, x=457..476
x=443, y=231..246
y=610, x=455..457
x=503, y=922..927
x=532, y=1416..1425
x=466, y=1609..1627
y=1767, x=501..578
x=480, y=16..29
x=548, y=981..988
x=472, y=1206..1216
x=420, y=21..38
x=525, y=170..184
y=33, x=450..464
x=479, y=302..314
x=574, y=1405..1417
y=1030, x=449..472
x=568, y=16..29
y=1056, x=437..462
y=497, x=520..527
x=507, y=802..811
x=543, y=668..672
x=441, y=1478..1495
x=590, y=261..272
x=558, y=1181..1203
x=479, y=947..949
y=708, x=463..480
y=958, x=546..555
x=523, y=789..791
x=507, y=825..838
x=442, y=698..712
y=663, x=563..574
y=1576, x=422..443
x=584, y=871..876
y=1008, x=555..557
x=520, y=1569..1571
x=578, y=1476..1484
x=510, y=1019..1045
y=331, x=479..482
x=526, y=620..622
x=492, y=460..462
x=574, y=1208..1214
x=571, y=961..963
y=623, x=595..597
x=592, y=235..245
y=1063, x=474..481
x=569, y=728..729
x=511, y=436..438
y=422, x=420..432
x=560, y=364..385
x=558, y=84..108
x=436, y=535..546
y=349, x=435..462
y=993, x=543..563
y=1469, x=467..494
x=415, y=598..608
x=430, y=1420..1421
x=551, y=644..664
x=557, y=794..806
x=523, y=1160..1165
y=1555, x=516..536
y=1367, x=437..441
y=1336, x=537..547
x=426, y=1604..1610
y=138, x=588..590
x=451, y=388..401
y=103, x=450..464
x=524, y=1542..1550
y=1425, x=512..532
x=456, y=230..246
x=454, y=1422..1430
y=1203, x=558..582
x=458, y=679..690
x=503, y=1518..1541
y=750, x=493..497
y=126, x=460..470
x=524, y=967..978
x=444, y=1637..1645
y=895, x=514..536
x=416, y=245..259
x=574, y=727..729
x=449, y=368..379
x=460, y=942..951
y=871, x=469..473
x=510, y=1183..1194
y=118, x=493..498
x=516, y=666..672
x=544, y=1587..1599
y=1355, x=561..563
x=529, y=32..42
x=493, y=662..665
x=434, y=1449..1473
y=988, x=500..502
y=185, x=552..554
x=557, y=429..441
x=436, y=1246..1263
y=1052, x=592..596
y=143, x=425..439
y=724, x=435..467
x=520, y=1741..1743
x=429, y=1382..1410
y=1376, x=543..545
y=1630, x=573..587
x=537, y=264..266
x=530, y=1542..1550
y=376, x=492..503
x=590, y=668..674
x=434, y=786..798
y=605, x=420..427
x=522, y=1046..1058
y=668, x=464..467
x=567, y=343..357
y=1609, x=492..499
x=455, y=114..129
y=1317, x=542..563
x=447, y=1235..1262
y=1586, x=481..483
x=514, y=884..895
x=462, y=576..590
y=851, x=583..596
y=398, x=458..461
y=585, x=536..546
x=489, y=11..24
y=1090, x=570..582
x=585, y=1713..1739
y=219, x=443..463
x=547, y=1691..1703
x=541, y=1717..1720
x=592, y=1032..1052
x=580, y=979..990
x=568, y=1029..1032
y=1058, x=522..586
x=543, y=1435..1447
y=423, x=457..481
y=840, x=415..441
x=500, y=979..988
x=461, y=1289..1309
x=420, y=595..605
x=494, y=1496..1505
